"AE","HR","CI_lower","CI_upper","p_value"
"Anemia",0.87,0.82,0.93,0
"Lymphocyte count decreased",0.96,0.87,1.06,0.43
"Platelet count decreased",1,0.91,1.1,0.95
"White blood cell decreased",0.83,0.75,0.91,0
"Neutrophil count decreased",0.87,0.79,0.96,0.01
"Investigations - Other, specify",0.95,0.85,1.06,0.37
"Leukocytosis",1.55,1.06,2.25,0.02
"Hypoalbuminemia",1.21,1.09,1.33,0
"Alkaline phosphatase increased",1.41,1.31,1.53,0
"Hyponatremia",2.09,1.82,2.42,0
"GGT increased",0.96,0.9,1.03,0.27
"Aspartate aminotransferase increased",1.11,1.01,1.23,0.04
"Hyperkalemia",1.46,1.04,2.06,0.03
"Fatigue",0.91,0.85,0.97,0.01
"Rash maculo-papular",0.73,0.64,0.82,0
"Diarrhea",1.09,1,1.2,0.06
"Anorexia",1.51,1.36,1.68,0
"Constipation",1.25,1.09,1.44,0
"Abdominal Pain",1.19,1.09,1.3,0
"Alanine aminotransferase increased",0.98,0.9,1.07,0.66
"Hypocalcemia",1.3,1.12,1.52,0
"Lethargy",1,0.92,1.1,0.96
"Mucositis oral",0.93,0.73,1.17,0.52
"Hypokalemia",1.36,0.99,1.88,0.06
"Vomiting",0.98,0.82,1.17,0.82
"Chronic kidney disease",0.99,0.8,1.22,0.93
"Hypomagnesemia",0.97,0.8,1.18,0.78
"Creatinine increased",0.7,0.6,0.81,0
"Electrocardiogram QT corrected interval prolonged",1.54,1.15,2.05,0
"Nausea",0.77,0.7,0.85,0
"Papulopustular rash",0.94,0.77,1.14,0.51
"Blood bilirubin increased",1.74,1.28,2.36,0
"QUERY.Bl.ALP.query",0.91,0.66,1.24,0.54
"QUERY.Bl.Lymph.high",1.3,0.85,2,0.23
"QUERY.Bl.Haem.high",0.72,0.48,1.09,0.12
"QUERY.Bl.Creat.query",0.66,0.41,1.04,0.07
