"AE","HR_All","CI_Lower_All","CI_Upper_All","P_Value_All","HR_Placebo","CI_Lower_Placebo","CI_Upper_Placebo","P_Value_Placebo","HR_Vandetanib","CI_Lower_Vandetanib","CI_Upper_Vandetanib","P_Value_Vandetanib"
"Anemia",0.14,0.1,0.21,0,0.14,0.09,0.24,0,0.14,0.08,0.23,0
"Lymphocyte count decreased",0.59,0.43,0.8,0,0.65,0.42,1,0.05,0.54,0.35,0.85,0.01
"Platelet count decreased",0.28,0.2,0.38,0,0.43,0.28,0.64,0,0.14,0.08,0.23,0
"White blood cell decreased",0.27,0.2,0.38,0,0.26,0.17,0.42,0,0.27,0.17,0.42,0
"Neutrophil count decreased",0.2,0.14,0.27,0,0.2,0.13,0.32,0,0.18,0.11,0.3,0
"Investigations - Other, specify",0.48,0.34,0.66,0,0.38,0.24,0.62,0,0.54,0.34,0.86,0.01
"Leukocytosis",1.25,0.7,2.22,0.45,1.24,0.61,2.5,0.55,1.28,0.46,3.57,0.64
"Hypoalbuminemia",0.98,0.72,1.33,0.9,1.01,0.68,1.51,0.96,0.83,0.51,1.37,0.47
"Alkaline phosphatase increased",0.59,0.44,0.79,0,0.59,0.4,0.88,0.01,0.57,0.37,0.88,0.01
"Hyponatremia",1.2,0.86,1.68,0.28,1.23,0.78,1.93,0.37,1.11,0.66,1.84,0.7
"GGT increased",0.46,0.34,0.62,0,0.51,0.34,0.76,0,0.41,0.27,0.64,0
"Aspartate aminotransferase increased",0.62,0.46,0.83,0,0.85,0.57,1.27,0.43,0.45,0.29,0.7,0
"Hyperkalemia",0.94,0.56,1.57,0.82,1.07,0.51,2.26,0.85,0.87,0.42,1.78,0.7
"Fatigue",0.3,0.22,0.42,0,0.2,0.12,0.33,0,0.36,0.23,0.56,0
"Rash maculo-papular",0.5,0.35,0.7,0,0.55,0.34,0.88,0.01,0.43,0.25,0.74,0
"Diarrhea",0.48,0.35,0.67,0,0.48,0.31,0.76,0,0.49,0.3,0.78,0
"Anorexia",0.65,0.48,0.87,0,0.59,0.39,0.89,0.01,0.66,0.43,1.02,0.06
"Constipation",0.64,0.47,0.89,0.01,0.65,0.42,1.01,0.06,0.64,0.4,1.03,0.07
"Abdominal Pain",0.57,0.43,0.77,0,0.6,0.4,0.91,0.02,0.56,0.36,0.87,0.01
"Alanine aminotransferase increased",0.37,0.27,0.5,0,0.46,0.3,0.69,0,0.27,0.17,0.43,0
"Hypocalcemia",0.86,0.61,1.22,0.4,0.96,0.62,1.51,0.88,0.66,0.37,1.17,0.15
"Lethargy",0.53,0.39,0.72,0,0.57,0.38,0.87,0.01,0.5,0.32,0.79,0
"Mucositis oral",1.04,0.71,1.52,0.86,1.5,0.92,2.45,0.1,0.65,0.34,1.24,0.19
"Hypokalemia",0.9,0.55,1.46,0.67,1.28,0.69,2.35,0.43,0.57,0.24,1.31,0.19
"Vomiting",0.79,0.57,1.1,0.17,0.71,0.45,1.11,0.13,0.83,0.5,1.36,0.46
"Chronic kidney disease",0.85,0.54,1.34,0.48,1.02,0.53,1.95,0.95,0.77,0.4,1.48,0.44
"Hypomagnesemia",1.05,0.71,1.57,0.79,1.4,0.8,2.45,0.24,0.88,0.49,1.57,0.66
"Creatinine increased",0.68,0.45,1.04,0.08,0.83,0.49,1.41,0.5,0.46,0.21,0.97,0.04
"Electrocardiogram QT corrected interval prolonged",1.19,0.76,1.88,0.44,1.22,0.65,2.29,0.54,1.22,0.63,2.33,0.56
"Nausea",0.47,0.35,0.65,0,0.38,0.24,0.59,0,0.56,0.36,0.87,0.01
"Papulopustular rash",0.55,0.36,0.85,0.01,0.67,0.38,1.17,0.16,0.43,0.21,0.85,0.02
"Blood bilirubin increased",1.45,0.92,2.29,0.11,1.66,0.88,3.11,0.12,1.31,0.67,2.56,0.44
"QUERY.Bl.ALP.query",0.6,0.32,1.12,0.11,0.94,0.34,2.62,0.91,0.51,0.23,1.13,0.1
"QUERY.Bl.Lymph.high",0.76,0.44,1.31,0.32,0.61,0.26,1.42,0.25,0.92,0.45,1.88,0.82
"QUERY.Bl.Haem.high",0.64,0.35,1.17,0.15,0.64,0.25,1.61,0.34,0.66,0.3,1.48,0.32
"QUERY.Bl.Creat.query",0.71,0.33,1.52,0.37,0.88,0.27,2.82,0.83,0.67,0.24,1.88,0.45
